,DateCourse,Numéro -Voit_sched,sched_start,sched_end,Type,CodeLong,Ligne,Category,sched_start_ts,actual_exit_ts,Numéro -Voit_actual,TypeSens
205,2025-04-01,33 - 13,1900-01-01 08:05:40,1900-01-01 08:29:40,Régulier,PRSM00,31,Genève-Tours,2025-04-01 08:05:40,2025-04-01 08:05:00,31 - 13,0.0
1873,2025-04-01,L - 3,1900-01-01 08:07:00,1900-01-01 08:25:20,Régulier,CRCO05,70,ODIER,2025-04-01 08:07:00,2025-04-01 08:07:00,70 - 3,0.0
1912,2025-04-01,L - 2,1900-01-01 08:07:00,1900-01-01 08:26:00,Régulier,SYGA00,70,ODIER,2025-04-01 08:07:00,2025-04-01 08:07:00,70 - 2,0.0
1516,2025-04-01,60 - 12,1900-01-01 08:09:00,1900-01-01 08:53:40,Régulier,CVIN03,61,Rdta,2025-04-01 08:09:00,2025-04-01 08:09:00,61 - 12,0.0
753,2025-04-01,48 - 5,1900-01-01 08:12:40,1900-01-01 08:27:00,Régulier,CRCO05,47,ODIER,2025-04-01 08:12:40,2025-04-01 08:12:00,47 - 5,0.0
336,2025-04-01,32 - 6,1900-01-01 08:14:00,1900-01-01 08:42:00,Régulier,PMAR01,33,Genève-Tours,2025-04-01 08:14:00,2025-04-01 08:14:00,33 - 6,0.0
802,2025-04-01,48 - 4,1900-01-01 08:15:40,1900-01-01 08:31:40,Régulier,LULY00,47,ODIER,2025-04-01 08:15:40,2025-04-01 08:15:00,47 - 4,0.0
380,2025-04-01,32 - 1,1900-01-01 08:16:40,1900-01-01 08:43:40,Régulier,RIVE04,33,Genève-Tours,2025-04-01 08:16:40,2025-04-01 08:16:00,33 - 1,0.0
162,2025-04-01,33 - 16,1900-01-01 08:17:40,1900-01-01 08:39:00,Régulier,PMAR00,31,Genève-Tours,2025-04-01 08:17:40,2025-04-01 08:17:00,31 - 16,0.0
206,2025-04-01,33 - 15,1900-01-01 08:17:40,1900-01-01 08:40:40,Régulier,PRSM00,31,Genève-Tours,2025-04-01 08:17:40,2025-04-01 08:17:00,31 - 15,0.0
754,2025-04-01,48 - 3,1900-01-01 08:28:00,1900-01-01 08:42:20,Régulier,CRCO05,47,ODIER,2025-04-01 08:28:00,2025-04-01 08:28:00,47 - 3,0.0
163,2025-04-01,33 - 12,1900-01-01 08:31:40,1900-01-01 08:51:40,Régulier,PMAR00,31,Genève-Tours,2025-04-01 08:31:40,2025-04-01 08:31:00,31 - 12,0.0
803,2025-04-01,48 - 5,1900-01-01 08:32:40,1900-01-01 08:47:20,Régulier,LULY00,47,ODIER,2025-04-01 08:32:40,2025-04-01 08:32:00,47 - 5,0.0
1913,2025-04-01,L - 3,1900-01-01 08:35:00,1900-01-01 08:51:40,Régulier,SYGA00,70,ODIER,2025-04-01 08:35:00,2025-04-01 08:35:00,70 - 3,0.0
1874,2025-04-01,L - 1,1900-01-01 08:37:00,1900-01-01 08:55:00,Régulier,CRCO05,70,ODIER,2025-04-01 08:37:00,2025-04-01 08:37:00,70 - 1,0.0
1517,2025-04-01,60 - 6,1900-01-01 08:37:40,1900-01-01 09:22:00,Régulier,CVIN03,61,Rdta,2025-04-01 08:37:40,2025-04-01 08:37:00,61 - 6,0.0
755,2025-04-01,48 - 6,1900-01-01 08:43:40,1900-01-01 08:58:00,Régulier,CRCO05,47,ODIER,2025-04-01 08:43:40,2025-04-01 08:43:00,47 - 6,0.0
164,2025-04-01,32 - 1,1900-01-01 08:44:40,1900-01-01 09:04:40,Régulier,PMAR00,31,Genève-Tours,2025-04-01 08:44:40,2025-04-01 08:44:00,31 - 1,0.0
804,2025-04-01,48 - 3,1900-01-01 08:47:20,1900-01-01 09:01:40,Régulier,LULY00,47,ODIER,2025-04-01 08:47:20,2025-04-01 08:47:00,47 - 3,0.0
708,2025-04-01,C9 - 41,1900-01-01 08:49:00,1900-01-01 09:28:40,Régulier,TCAR01,41,ODIER,2025-04-01 08:49:00,2025-04-01 08:49:00,41 - 41,0.0
1518,2025-04-01,60 - 7,1900-01-01 08:52:20,1900-01-01 09:37:20,Régulier,CVIN03,61,Rdta,2025-04-01 08:52:20,2025-04-01 08:52:00,61 - 7,0.0
207,2025-04-01,33 - 16,1900-01-01 08:52:40,1900-01-01 09:14:40,Régulier,PRSM00,31,Genève-Tours,2025-04-01 08:52:40,2025-04-01 08:52:00,31 - 16,0.0
756,2025-04-01,48 - 2,1900-01-01 08:59:20,1900-01-01 09:13:40,Régulier,CRCO05,47,ODIER,2025-04-01 08:59:20,2025-04-01 08:59:00,47 - 2,0.0
382,2025-04-01,32 - 6,1900-01-01 09:00:00,1900-01-01 09:25:40,Régulier,RIVE04,33,Genève-Tours,2025-04-01 09:00:00,2025-04-01 09:00:00,33 - 6,0.0
165,2025-04-01,33 - 14,1900-01-01 09:01:40,1900-01-01 09:21:40,Régulier,PMAR00,31,Genève-Tours,2025-04-01 09:01:40,2025-04-01 09:01:00,31 - 14,0.0
805,2025-04-01,48 - 6,1900-01-01 09:03:00,1900-01-01 09:16:40,Régulier,LULY00,47,ODIER,2025-04-01 09:03:00,2025-04-01 09:03:00,47 - 6,0.0
1519,2025-04-01,60 - 15,1900-01-01 09:03:20,1900-01-01 09:48:20,Régulier,CVIN03,61,Rdta,2025-04-01 09:03:20,2025-04-01 09:03:00,61 - 15,0.0
1914,2025-04-01,L - 1,1900-01-01 09:05:00,1900-01-01 09:21:40,Régulier,SYGA00,70,ODIER,2025-04-01 09:05:00,2025-04-01 09:05:00,70 - 1,0.0
1875,2025-04-01,L - 6,1900-01-01 09:07:00,1900-01-01 09:24:40,Régulier,CRCO05,70,ODIER,2025-04-01 09:07:00,2025-04-01 09:07:00,70 - 6,0.0
