,DateCourse,Numéro -Voit_sched,sched_start,sched_end,Type,CodeLong,Ligne,Category,sched_start_ts,actual_exit_ts,Numéro -Voit_actual,TypeSens
112287,2025-05-19,33 - 20,1900-01-01 20:27:20,1900-01-01 20:45:00,Régulier,PMAR00,31,Genève-Tours,2025-05-19 20:27:20,2025-05-19 20:27:00,31 - 20,0.0
112867,2025-05-19,48 - 10,1900-01-01 20:30:00,1900-01-01 20:43:20,Régulier,CRCO05,47,ODIER,2025-05-19 20:30:00,2025-05-19 20:30:00,47 - 10,0.0
112415,2025-05-19,37 - 32,1900-01-01 20:33:00,1900-01-01 21:01:40,Régulier,PRSM00,32,Genève-Tours,2025-05-19 20:33:00,2025-05-19 20:33:00,32 - 32,0.0
113967,2025-05-19,L - 10,1900-01-01 20:35:00,1900-01-01 20:50:00,Régulier,SYGA00,70,ODIER,2025-05-19 20:35:00,2025-05-19 20:35:00,70 - 10,0.0
112377,2025-05-19,37 - 34,1900-01-01 20:37:40,1900-01-01 21:08:40,Régulier,MONN00,32,Genève-Tours,2025-05-19 20:37:40,2025-05-19 20:37:00,32 - 34,0.0
113595,2025-05-19,60 - 48,1900-01-01 20:43:20,1900-01-01 21:24:20,Régulier,CVIN03,61,Rdta,2025-05-19 20:43:20,2025-05-19 20:43:00,61 - 48,0.0
112463,2025-05-19,37 - 30,1900-01-01 20:44:20,1900-01-01 21:07:20,Régulier,PMAR01,33,Genève-Tours,2025-05-19 20:44:20,2025-05-19 20:44:00,33 - 30,0.0
112650,2025-05-19,33 - 21,1900-01-01 20:51:00,1900-01-01 21:15:00,Régulier,PRSM05,37,Genève-Tours,2025-05-19 20:51:00,2025-05-19 20:51:00,37 - 21,0.0
112918,2025-05-19,48 - 10,1900-01-01 20:52:00,1900-01-01 21:04:20,Régulier,LULY00,47,ODIER,2025-05-19 20:52:00,2025-05-19 20:52:00,47 - 10,0.0
113596,2025-05-19,60 - 44,1900-01-01 20:53:20,1900-01-01 21:34:20,Régulier,CVIN03,61,Rdta,2025-05-19 20:53:20,2025-05-19 20:53:00,61 - 44,0.0
112335,2025-05-19,33 - 20,1900-01-01 20:54:40,1900-01-01 21:12:40,Régulier,PRSM00,31,Genève-Tours,2025-05-19 20:54:40,2025-05-19 20:54:00,31 - 20,0.0
112288,2025-05-19,33 - 19,1900-01-01 20:58:20,1900-01-01 21:16:00,Régulier,PMAR00,31,Genève-Tours,2025-05-19 20:58:20,2025-05-19 20:58:00,31 - 19,0.0
112868,2025-05-19,48z - 51,1900-01-01 21:02:00,1900-01-01 21:15:00,Régulier,CRCO05,47,ODIER,2025-05-19 21:02:00,2025-05-19 21:02:00,47 - 51,0.0
112969,2025-05-19,48z - 52,1900-01-01 21:06:00,1900-01-01 21:28:00,Régulier,CRCO02,48,ODIER,2025-05-19 21:06:00,2025-05-19 21:06:00,48 - 52,0.0
113968,2025-05-19,70z - 51,1900-01-01 21:08:00,1900-01-01 21:23:00,Régulier,SYGA00,70,ODIER,2025-05-19 21:08:00,2025-05-19 21:08:00,70 - 51,0.0
113016,2025-05-19,48z - 53,1900-01-01 21:11:40,1900-01-01 21:31:00,Régulier,ZIPL02,48,ODIER,2025-05-19 21:11:40,2025-05-19 21:11:00,48 - 53,0.0
112351,2025-05-19,37 - 32,1900-01-01 21:13:00,1900-01-01 21:39:40,Régulier,JUMR01,32,Genève-Tours,2025-05-19 21:13:00,2025-05-19 21:13:00,32 - 32,0.0
112919,2025-05-19,48z - 51,1900-01-01 21:22:00,1900-01-01 21:33:20,Régulier,LULY00,47,ODIER,2025-05-19 21:22:00,2025-05-19 21:22:00,47 - 51,0.0
112289,2025-05-19,33 - 18,1900-01-01 21:29:00,1900-01-01 21:45:40,Régulier,PMAR00,31,Genève-Tours,2025-05-19 21:29:00,2025-05-19 21:29:00,31 - 18,0.0
112869,2025-05-19,48z - 53,1900-01-01 21:32:00,1900-01-01 21:44:40,Régulier,CRCO05,47,ODIER,2025-05-19 21:32:00,2025-05-19 21:32:00,47 - 53,0.0
112970,2025-05-19,48z - 51,1900-01-01 21:36:00,1900-01-01 21:57:40,Régulier,CRCO02,48,ODIER,2025-05-19 21:36:00,2025-05-19 21:36:00,48 - 51,0.0
113924,2025-05-19,70z - 51,1900-01-01 21:37:00,1900-01-01 21:53:40,Régulier,CRCO05,70,ODIER,2025-05-19 21:37:00,2025-05-19 21:37:00,70 - 51,0.0
113017,2025-05-19,48z - 52,1900-01-01 21:42:20,1900-01-01 22:00:40,Régulier,ZIPL02,48,ODIER,2025-05-19 21:42:20,2025-05-19 21:42:00,48 - 52,0.0
112416,2025-05-19,37 - 32,1900-01-01 21:43:40,1900-01-01 22:12:00,Régulier,PRSM00,32,Genève-Tours,2025-05-19 21:43:40,2025-05-19 21:43:00,32 - 32,0.0
112920,2025-05-19,48z - 53,1900-01-01 21:52:00,1900-01-01 22:03:00,Régulier,LULY00,47,ODIER,2025-05-19 21:52:00,2025-05-19 21:52:00,47 - 53,0.0
112336,2025-05-19,33 - 18,1900-01-01 21:55:00,1900-01-01 22:13:00,Régulier,PRSM00,31,Genève-Tours,2025-05-19 21:55:00,2025-05-19 21:55:00,31 - 18,0.0
112870,2025-05-19,48z - 52,1900-01-01 22:02:00,1900-01-01 22:14:00,Régulier,CRCO05,47,ODIER,2025-05-19 22:02:00,2025-05-19 22:02:00,47 - 52,0.0
112971,2025-05-19,48z - 53,1900-01-01 22:06:00,1900-01-01 22:27:40,Régulier,CRCO02,48,ODIER,2025-05-19 22:06:00,2025-05-19 22:06:00,48 - 53,0.0
114067,2025-05-19,74 - 6,1900-01-01 22:07:00,1900-01-01 22:27:00,Régulier,SYGA00,72,GLOBE,2025-05-19 22:07:00,2025-05-19 22:07:00,72 - 6,0.0
113969,2025-05-19,70z - 51,1900-01-01 22:08:00,1900-01-01 22:23:00,Régulier,SYGA00,70,ODIER,2025-05-19 22:08:00,2025-05-19 22:08:00,70 - 51,0.0
113018,2025-05-19,48z - 51,1900-01-01 22:12:20,1900-01-01 22:30:40,Régulier,ZIPL02,48,ODIER,2025-05-19 22:12:20,2025-05-19 22:12:00,48 - 51,0.0
112352,2025-05-19,37 - 32,1900-01-01 22:17:20,1900-01-01 22:43:40,Régulier,JUMR01,32,Genève-Tours,2025-05-19 22:17:20,2025-05-19 22:17:00,32 - 32,0.0
112921,2025-05-19,48z - 52,1900-01-01 22:22:00,1900-01-01 22:32:20,Régulier,LULY00,47,ODIER,2025-05-19 22:22:00,2025-05-19 22:22:00,47 - 52,0.0
112290,2025-05-19,33 - 20,1900-01-01 22:29:00,1900-01-01 22:45:40,Régulier,PMAR00,31,Genève-Tours,2025-05-19 22:29:00,2025-05-19 22:29:00,31 - 20,0.0
112871,2025-05-19,48z - 51,1900-01-01 22:32:00,1900-01-01 22:44:00,Régulier,CRCO05,47,ODIER,2025-05-19 22:32:00,2025-05-19 22:32:00,47 - 51,0.0
112972,2025-05-19,48z - 52,1900-01-01 22:36:00,1900-01-01 22:57:20,Régulier,CRCO02,48,ODIER,2025-05-19 22:36:00,2025-05-19 22:36:00,48 - 52,0.0
113925,2025-05-19,70z - 51,1900-01-01 22:37:00,1900-01-01 22:53:40,Régulier,CRCO05,70,ODIER,2025-05-19 22:37:00,2025-05-19 22:37:00,70 - 51,0.0
113019,2025-05-19,48z - 53,1900-01-01 22:43:20,1900-01-01 23:01:20,Régulier,ZIPL02,48,ODIER,2025-05-19 22:43:20,2025-05-19 22:43:00,48 - 53,0.0
112417,2025-05-19,33 - 20,1900-01-01 22:49:20,1900-01-01 23:17:20,Régulier,PRSM00,32,Genève-Tours,2025-05-19 22:49:20,2025-05-19 22:49:00,32 - 20,0.0
112922,2025-05-19,48z - 51,1900-01-01 22:52:00,1900-01-01 23:02:20,Régulier,LULY00,47,ODIER,2025-05-19 22:52:00,2025-05-19 22:52:00,47 - 51,0.0
112337,2025-05-19,37 - 32,1900-01-01 22:55:00,1900-01-01 23:13:00,Régulier,PRSM00,31,Genève-Tours,2025-05-19 22:55:00,2025-05-19 22:55:00,31 - 32,0.0
112872,2025-05-19,48z - 53,1900-01-01 23:02:00,1900-01-01 23:13:40,Régulier,CRCO05,47,ODIER,2025-05-19 23:02:00,2025-05-19 23:02:00,47 - 53,0.0
112973,2025-05-19,48z - 51,1900-01-01 23:06:00,1900-01-01 23:27:20,Régulier,CRCO02,48,ODIER,2025-05-19 23:06:00,2025-05-19 23:06:00,48 - 51,0.0
114068,2025-05-19,74 - 6,1900-01-01 23:07:00,1900-01-01 23:27:00,Régulier,SYGA00,72,GLOBE,2025-05-19 23:07:00,2025-05-19 23:07:00,72 - 6,0.0
113970,2025-05-19,70z - 51,1900-01-01 23:08:00,1900-01-01 23:22:40,Régulier,SYGA00,70,ODIER,2025-05-19 23:08:00,2025-05-19 23:08:00,70 - 51,0.0
113020,2025-05-19,48z - 52,1900-01-01 23:12:40,1900-01-01 23:30:40,Régulier,ZIPL02,48,ODIER,2025-05-19 23:12:40,2025-05-19 23:12:00,48 - 52,0.0
112466,2025-05-19,37 - 32,1900-01-01 23:14:20,1900-01-01 23:35:40,Régulier,PMAR01,33,Genève-Tours,2025-05-19 23:14:20,2025-05-19 23:14:00,33 - 32,0.0
112353,2025-05-19,33 - 20,1900-01-01 23:22:00,1900-01-01 23:47:20,Régulier,JUMR01,32,Genève-Tours,2025-05-19 23:22:00,2025-05-19 23:22:00,32 - 20,0.0
112923,2025-05-19,48z - 53,1900-01-01 23:22:00,1900-01-01 23:32:20,Régulier,LULY00,47,ODIER,2025-05-19 23:22:00,2025-05-19 23:22:00,47 - 53,0.0
112291,2025-05-19,33 - 18,1900-01-01 23:29:00,1900-01-01 23:44:40,Régulier,PMAR00,31,Genève-Tours,2025-05-19 23:29:00,2025-05-19 23:29:00,31 - 18,0.0
112873,2025-05-19,48z - 52,1900-01-01 23:31:00,1900-01-01 23:42:40,Régulier,CRCO05,47,ODIER,2025-05-19 23:31:00,2025-05-19 23:31:00,47 - 52,0.0
112974,2025-05-19,48z - 53,1900-01-01 23:36:00,1900-01-01 23:57:20,Régulier,CRCO02,48,ODIER,2025-05-19 23:36:00,2025-05-19 23:36:00,48 - 53,0.0
113926,2025-05-19,70z - 51,1900-01-01 23:39:00,1900-01-01 23:54:20,Régulier,CRCO05,70,ODIER,2025-05-19 23:39:00,2025-05-19 23:39:00,70 - 51,0.0
113021,2025-05-19,48z - 51,1900-01-01 23:44:20,,Régulier,ZIPL02,48,ODIER,2025-05-19 23:44:20,2025-05-19 23:44:00,48 - 51,0.0
112924,2025-05-19,48z - 52,1900-01-01 23:53:00,,Régulier,LULY00,47,ODIER,2025-05-19 23:53:00,2025-05-19 23:53:00,47 - 52,0.0
112418,2025-05-19,33 - 18,1900-01-01 23:54:00,,Régulier,PRSM00,32,Genève-Tours,2025-05-19 23:54:00,2025-05-19 23:54:00,32 - 18,0.0
112338,2025-05-19,33 - 20,1900-01-01 23:55:00,,Régulier,PRSM00,31,Genève-Tours,2025-05-19 23:55:00,2025-05-19 23:55:00,31 - 20,0.0
115038,2025-05-20,33 - 12,1900-01-01 04:53:00,1900-01-01 05:12:40,Régulier,PRSM00,31,Genève-Tours,2025-05-20 04:53:00,2025-05-20 04:53:00,31 - 12,0.0
115622,2025-05-20,48 - 1,1900-01-01 04:54:00,1900-01-01 05:05:20,Régulier,LULY00,47,ODIER,2025-05-20 04:54:00,2025-05-20 04:54:00,47 - 1,0.0
116705,2025-05-20,L - 2,1900-01-01 05:05:00,1900-01-01 05:21:20,Régulier,SYGA00,70,ODIER,2025-05-20 05:05:00,2025-05-20 05:05:00,70 - 2,0.0
115985,2025-05-20,52 - 3,1900-01-01 05:08:00,1900-01-01 05:30:40,Régulier,CHAV00,55,ODIER,2025-05-20 05:08:00,2025-05-20 05:08:00,55 - 3,0.0
115571,2025-05-20,48 - 2,1900-01-01 05:20:20,1900-01-01 05:33:00,Régulier,CRCO05,47,ODIER,2025-05-20 05:20:20,2025-05-20 05:20:00,47 - 2,0.0
116348,2025-05-20,60 - 5,1900-01-01 05:21:00,1900-01-01 06:00:00,Régulier,GXAI01,61,Rdta,2025-05-20 05:21:00,2025-05-20 05:21:00,61 - 5,0.0
114992,2025-05-20,33 - 13,1900-01-01 05:27:40,1900-01-01 05:45:00,Régulier,PMAR00,31,Genève-Tours,2025-05-20 05:27:40,2025-05-20 05:27:00,31 - 13,0.0
116666,2025-05-20,L - 2,1900-01-01 05:28:00,1900-01-01 05:45:20,Régulier,CRCO05,70,ODIER,2025-05-20 05:28:00,2025-05-20 05:28:00,70 - 2,0.0
115623,2025-05-20,48 - 3,1900-01-01 05:29:00,1900-01-01 05:40:20,Régulier,LULY00,47,ODIER,2025-05-20 05:29:00,2025-05-20 05:29:00,47 - 3,0.0
116706,2025-05-20,L - 4,1900-01-01 05:35:00,1900-01-01 05:51:20,Régulier,SYGA00,70,ODIER,2025-05-20 05:35:00,2025-05-20 05:35:00,70 - 4,0.0
115951,2025-05-20,52 - 3,1900-01-01 05:40:00,1900-01-01 06:03:00,Régulier,BOSY00,55,ODIER,2025-05-20 05:40:00,2025-05-20 05:40:00,55 - 3,0.0
115316,2025-05-20,32 - 2,1900-01-01 05:42:00,1900-01-01 06:06:20,Régulier,LULI00,37,Genève-Tours,2025-05-20 05:42:00,2025-05-20 05:42:00,37 - 2,0.0
114991,2025-05-20,33 - 14,1900-01-01 05:43:00,1900-01-01 05:47:40,Régulier,MIDE01,31,Genève-Tours,2025-05-20 05:43:00,2025-05-20 05:43:00,31 - 14,0.0
115039,2025-05-20,33 - 13,1900-01-01 05:54:00,1900-01-01 06:13:40,Régulier,PRSM00,31,Genève-Tours,2025-05-20 05:54:00,2025-05-20 05:54:00,31 - 13,0.0
115572,2025-05-20,48 - 1,1900-01-01 05:54:00,1900-01-01 06:07:40,Régulier,CRCO05,47,ODIER,2025-05-20 05:54:00,2025-05-20 05:54:00,47 - 1,0.0
114993,2025-05-20,33 - 15,1900-01-01 05:58:40,1900-01-01 06:16:00,Régulier,PMAR00,31,Genève-Tours,2025-05-20 05:58:40,2025-05-20 05:58:00,31 - 15,0.0
115624,2025-05-20,48 - 2,1900-01-01 05:58:40,1900-01-01 06:10:40,Régulier,LULY00,47,ODIER,2025-05-20 05:58:40,2025-05-20 05:58:00,47 - 2,0.0
115102,2025-05-20,33 - 16,1900-01-01 06:04:00,1900-01-01 06:39:20,Régulier,MONN00,32,Genève-Tours,2025-05-20 06:04:00,2025-05-20 06:04:00,32 - 16,0.0
116707,2025-05-20,L - 2,1900-01-01 06:05:00,1900-01-01 06:21:20,Régulier,SYGA00,70,ODIER,2025-05-20 06:05:00,2025-05-20 06:05:00,70 - 2,0.0
116667,2025-05-20,L - 3,1900-01-01 06:06:00,1900-01-01 06:23:40,Régulier,CRCO05,70,ODIER,2025-05-20 06:06:00,2025-05-20 06:06:00,70 - 3,0.0
115040,2025-05-20,32 - 4,1900-01-01 06:10:00,1900-01-01 06:29:40,Régulier,PRSM00,31,Genève-Tours,2025-05-20 06:10:00,2025-05-20 06:10:00,31 - 4,0.0
115317,2025-05-20,32 - 3,1900-01-01 06:11:00,1900-01-01 06:36:00,Régulier,LULI00,37,Genève-Tours,2025-05-20 06:11:00,2025-05-20 06:11:00,37 - 3,0.0
116349,2025-05-20,60 - 2,1900-01-01 06:15:40,1900-01-01 06:57:20,Régulier,GXAI01,61,Rdta,2025-05-20 06:15:40,2025-05-20 06:15:00,61 - 2,0.0
116668,2025-05-20,L - 5,1900-01-01 06:22:00,1900-01-01 06:39:40,Régulier,CRCO05,70,ODIER,2025-05-20 06:22:00,2025-05-20 06:22:00,70 - 5,0.0
115573,2025-05-20,48 - 4,1900-01-01 06:23:20,1900-01-01 06:37:20,Régulier,CRCO05,47,ODIER,2025-05-20 06:23:20,2025-05-20 06:23:00,47 - 4,0.0
115041,2025-05-20,33 - 15,1900-01-01 06:24:00,1900-01-01 06:44:40,Régulier,PRSM00,31,Genève-Tours,2025-05-20 06:24:00,2025-05-20 06:24:00,31 - 15,0.0
115625,2025-05-20,48 - 1,1900-01-01 06:29:00,1900-01-01 06:42:20,Régulier,LULY00,47,ODIER,2025-05-20 06:29:00,2025-05-20 06:29:00,47 - 1,0.0
114994,2025-05-20,33 - 12,1900-01-01 06:30:40,1900-01-01 06:50:40,Régulier,PMAR00,31,Genève-Tours,2025-05-20 06:30:40,2025-05-20 06:30:00,31 - 12,0.0
116350,2025-05-20,60 - 9,1900-01-01 06:34:40,1900-01-01 07:18:40,Régulier,GXAI01,61,Rdta,2025-05-20 06:34:40,2025-05-20 06:34:00,61 - 9,0.0
116708,2025-05-20,L - 3,1900-01-01 06:35:00,1900-01-01 06:51:20,Régulier,SYGA00,70,ODIER,2025-05-20 06:35:00,2025-05-20 06:35:00,70 - 3,0.0
116669,2025-05-20,L - 1,1900-01-01 06:36:00,1900-01-01 06:53:40,Régulier,CRCO05,70,ODIER,2025-05-20 06:36:00,2025-05-20 06:36:00,70 - 1,0.0
115042,2025-05-20,37 - 26,1900-01-01 06:38:00,1900-01-01 06:59:40,Régulier,PRSM00,31,Genève-Tours,2025-05-20 06:38:00,2025-05-20 06:38:00,31 - 26,0.0
115626,2025-05-20,48 - 4,1900-01-01 06:42:20,1900-01-01 06:56:00,Régulier,LULY00,47,ODIER,2025-05-20 06:42:20,2025-05-20 06:42:00,47 - 4,0.0
114995,2025-05-20,32 - 4,1900-01-01 06:42:40,1900-01-01 07:02:40,Régulier,PMAR00,31,Genève-Tours,2025-05-20 06:42:40,2025-05-20 06:42:00,31 - 4,0.0
115574,2025-05-20,48 - 3,1900-01-01 06:49:40,1900-01-01 07:03:40,Régulier,CRCO05,47,ODIER,2025-05-20 06:49:40,2025-05-20 06:49:00,47 - 3,0.0
115043,2025-05-20,33 - 16,1900-01-01 06:50:00,1900-01-01 07:11:40,Régulier,PRSM00,31,Genève-Tours,2025-05-20 06:50:00,2025-05-20 06:50:00,31 - 16,0.0
116709,2025-05-20,L - 5,1900-01-01 06:50:00,1900-01-01 07:07:20,Régulier,SYGA00,70,ODIER,2025-05-20 06:50:00,2025-05-20 06:50:00,70 - 5,0.0
116670,2025-05-20,L - 6,1900-01-01 06:55:00,1900-01-01 07:12:40,Régulier,CRCO05,70,ODIER,2025-05-20 06:55:00,2025-05-20 06:55:00,70 - 6,0.0
115627,2025-05-20,48 - 5,1900-01-01 06:57:00,1900-01-01 07:10:40,Régulier,LULY00,47,ODIER,2025-05-20 06:57:00,2025-05-20 06:57:00,47 - 5,0.0
114996,2025-05-20,33 - 14,1900-01-01 06:58:40,1900-01-01 07:18:40,Régulier,PMAR00,31,Genève-Tours,2025-05-20 06:58:40,2025-05-20 06:58:00,31 - 14,0.0
116351,2025-05-20,60 - 4,1900-01-01 06:58:40,1900-01-01 07:46:40,Régulier,GXAI01,61,Rdta,2025-05-20 06:58:40,2025-05-20 06:58:00,61 - 4,0.0
115168,2025-05-20,37 - 26,1900-01-01 07:01:00,1900-01-01 07:28:20,Régulier,PMAR01,33,Genève-Tours,2025-05-20 07:01:00,2025-05-20 07:01:00,33 - 26,0.0
115044,2025-05-20,33 - 12,1900-01-01 07:04:00,1900-01-01 07:26:00,Régulier,PRSM00,31,Genève-Tours,2025-05-20 07:04:00,2025-05-20 07:04:00,31 - 12,0.0
116710,2025-05-20,L - 1,1900-01-01 07:05:00,1900-01-01 07:24:00,Régulier,SYGA00,70,ODIER,2025-05-20 07:05:00,2025-05-20 07:05:00,70 - 1,0.0
115575,2025-05-20,48 - 6,1900-01-01 07:08:00,1900-01-01 07:23:00,Régulier,CRCO05,47,ODIER,2025-05-20 07:08:00,2025-05-20 07:08:00,47 - 6,0.0
115628,2025-05-20,48 - 3,1900-01-01 07:08:40,1900-01-01 07:23:20,Régulier,LULY00,47,ODIER,2025-05-20 07:08:40,2025-05-20 07:08:00,47 - 3,0.0
114997,2025-05-20,32 - 6,1900-01-01 07:15:00,1900-01-01 07:37:20,Régulier,PMAR00,31,Genève-Tours,2025-05-20 07:15:00,2025-05-20 07:15:00,31 - 6,0.0
116711,2025-05-20,L - 6,1900-01-01 07:20:00,1900-01-01 07:39:00,Régulier,SYGA00,70,ODIER,2025-05-20 07:20:00,2025-05-20 07:20:00,70 - 6,0.0
115045,2025-05-20,32 - 1,1900-01-01 07:20:40,1900-01-01 07:43:20,Régulier,PRSM00,31,Genève-Tours,2025-05-20 07:20:40,2025-05-20 07:20:00,31 - 1,0.0
116671,2025-05-20,L - 5,1900-01-01 07:21:00,1900-01-01 07:39:40,Régulier,CRCO05,70,ODIER,2025-05-20 07:21:00,2025-05-20 07:21:00,70 - 5,0.0
116352,2025-05-20,60 - 5,1900-01-01 07:23:00,1900-01-01 08:12:40,Régulier,GXAI01,61,Rdta,2025-05-20 07:23:00,2025-05-20 07:23:00,61 - 5,0.0
115576,2025-05-20,48 - 2,1900-01-01 07:25:00,1900-01-01 07:40:00,Régulier,CRCO05,47,ODIER,2025-05-20 07:25:00,2025-05-20 07:25:00,47 - 2,0.0
115629,2025-05-20,48 - 6,1900-01-01 07:28:40,1900-01-01 07:44:40,Régulier,LULY00,47,ODIER,2025-05-20 07:28:40,2025-05-20 07:28:00,47 - 6,0.0
114998,2025-05-20,33 - 13,1900-01-01 07:29:40,1900-01-01 07:52:40,Régulier,PMAR00,31,Genève-Tours,2025-05-20 07:29:40,2025-05-20 07:29:00,31 - 13,0.0
115046,2025-05-20,33 - 14,1900-01-01 07:33:40,1900-01-01 07:57:40,Régulier,PRSM00,31,Genève-Tours,2025-05-20 07:33:40,2025-05-20 07:33:00,31 - 14,0.0
115218,2025-05-20,37 - 26,1900-01-01 07:33:40,1900-01-01 08:01:40,Régulier,RIVE04,33,Genève-Tours,2025-05-20 07:33:40,2025-05-20 07:33:00,33 - 26,0.0
116672,2025-05-20,L - 2,1900-01-01 07:35:00,1900-01-01 07:53:40,Régulier,CRCO05,70,ODIER,2025-05-20 07:35:00,2025-05-20 07:35:00,70 - 2,0.0
116712,2025-05-20,L - 4,1900-01-01 07:35:00,1900-01-01 07:54:00,Régulier,SYGA00,70,ODIER,2025-05-20 07:35:00,2025-05-20 07:35:00,70 - 4,0.0
114999,2025-05-20,33 - 15,1900-01-01 07:41:40,1900-01-01 08:05:00,Régulier,PMAR00,31,Genève-Tours,2025-05-20 07:41:40,2025-05-20 07:41:00,31 - 15,0.0
115577,2025-05-20,48 - 1,1900-01-01 07:41:40,1900-01-01 07:56:40,Régulier,CRCO05,47,ODIER,2025-05-20 07:41:40,2025-05-20 07:41:00,47 - 1,0.0
115171,2025-05-20,32 - 1,1900-01-01 07:43:40,1900-01-01 08:12:00,Régulier,PMAR01,33,Genève-Tours,2025-05-20 07:43:40,2025-05-20 07:43:00,33 - 1,0.0
115630,2025-05-20,48 - 2,1900-01-01 07:45:00,1900-01-01 08:01:00,Régulier,LULY00,47,ODIER,2025-05-20 07:45:00,2025-05-20 07:45:00,47 - 2,0.0
115047,2025-05-20,32 - 6,1900-01-01 07:48:40,1900-01-01 08:12:40,Régulier,PRSM00,31,Genève-Tours,2025-05-20 07:48:40,2025-05-20 07:48:00,31 - 6,0.0
116713,2025-05-20,L - 5,1900-01-01 07:50:00,1900-01-01 08:09:00,Régulier,SYGA00,70,ODIER,2025-05-20 07:50:00,2025-05-20 07:50:00,70 - 5,0.0
116353,2025-05-20,60 - 7,1900-01-01 07:50:40,1900-01-01 08:41:00,Régulier,GXAI01,61,Rdta,2025-05-20 07:50:40,2025-05-20 07:50:00,61 - 7,0.0
115578,2025-05-20,48 - 4,1900-01-01 07:55:40,1900-01-01 08:10:40,Régulier,CRCO05,47,ODIER,2025-05-20 07:55:40,2025-05-20 07:55:00,47 - 4,0.0
115631,2025-05-20,48 - 1,1900-01-01 08:01:40,1900-01-01 08:17:40,Régulier,LULY00,47,ODIER,2025-05-20 08:01:40,2025-05-20 08:01:00,47 - 1,0.0
115000,2025-05-20,37 - 26,1900-01-01 08:03:00,1900-01-01 08:26:20,Régulier,PMAR00,31,Genève-Tours,2025-05-20 08:03:00,2025-05-20 08:03:00,31 - 26,0.0
115473,2025-05-20,C5 - 57,1900-01-01 08:03:00,1900-01-01 08:20:40,Régulier,COVI01,39,Genève-Tours,2025-05-20 08:03:00,2025-05-20 08:03:00,39 - 57,0.0
115048,2025-05-20,33 - 13,1900-01-01 08:05:40,1900-01-01 08:29:40,Régulier,PRSM00,31,Genève-Tours,2025-05-20 08:05:40,2025-05-20 08:05:00,31 - 13,0.0
116673,2025-05-20,L - 3,1900-01-01 08:07:00,1900-01-01 08:25:20,Régulier,CRCO05,70,ODIER,2025-05-20 08:07:00,2025-05-20 08:07:00,70 - 3,0.0
116714,2025-05-20,L - 2,1900-01-01 08:07:00,1900-01-01 08:26:00,Régulier,SYGA00,70,ODIER,2025-05-20 08:07:00,2025-05-20 08:07:00,70 - 2,0.0
116334,2025-05-20,60 - 12,1900-01-01 08:09:00,1900-01-01 08:53:40,Régulier,CVIN03,61,Rdta,2025-05-20 08:09:00,2025-05-20 08:09:00,61 - 12,0.0
115579,2025-05-20,48 - 5,1900-01-01 08:12:40,1900-01-01 08:27:00,Régulier,CRCO05,47,ODIER,2025-05-20 08:12:40,2025-05-20 08:12:00,47 - 5,0.0
117534,2025-05-20,38 - 54,1900-01-01 08:13:00,1900-01-01 08:28:40,Régulier,MALA00,C4,Genève-Tours,2025-05-20 08:13:00,2025-05-20 08:13:00,C4 - 54,0.0
115173,2025-05-20,32 - 6,1900-01-01 08:14:00,1900-01-01 08:42:00,Régulier,PMAR01,33,Genève-Tours,2025-05-20 08:14:00,2025-05-20 08:14:00,33 - 6,0.0
115632,2025-05-20,48 - 4,1900-01-01 08:15:40,1900-01-01 08:31:40,Régulier,LULY00,47,ODIER,2025-05-20 08:15:40,2025-05-20 08:15:00,47 - 4,0.0
115221,2025-05-20,32 - 1,1900-01-01 08:16:40,1900-01-01 08:43:40,Régulier,RIVE04,33,Genève-Tours,2025-05-20 08:16:40,2025-05-20 08:16:00,33 - 1,0.0
115001,2025-05-20,33 - 16,1900-01-01 08:17:40,1900-01-01 08:39:00,Régulier,PMAR00,31,Genève-Tours,2025-05-20 08:17:40,2025-05-20 08:17:00,31 - 16,0.0
115049,2025-05-20,33 - 15,1900-01-01 08:17:40,1900-01-01 08:40:40,Régulier,PRSM00,31,Genève-Tours,2025-05-20 08:17:40,2025-05-20 08:17:00,31 - 15,0.0
116354,2025-05-20,60 - 16,1900-01-01 08:18:00,1900-01-01 09:07:20,Régulier,GXAI01,61,Rdta,2025-05-20 08:18:00,2025-05-20 08:18:00,61 - 16,0.0
115580,2025-05-20,48 - 3,1900-01-01 08:28:00,1900-01-01 08:42:20,Régulier,CRCO05,47,ODIER,2025-05-20 08:28:00,2025-05-20 08:28:00,47 - 3,0.0
115002,2025-05-20,33 - 12,1900-01-01 08:31:40,1900-01-01 08:51:40,Régulier,PMAR00,31,Genève-Tours,2025-05-20 08:31:40,2025-05-20 08:31:00,31 - 12,0.0
115633,2025-05-20,48 - 5,1900-01-01 08:32:40,1900-01-01 08:47:20,Régulier,LULY00,47,ODIER,2025-05-20 08:32:40,2025-05-20 08:32:00,47 - 5,0.0
116715,2025-05-20,L - 3,1900-01-01 08:35:00,1900-01-01 08:51:40,Régulier,SYGA00,70,ODIER,2025-05-20 08:35:00,2025-05-20 08:35:00,70 - 3,0.0
115050,2025-05-20,37 - 26,1900-01-01 08:36:40,1900-01-01 08:58:40,Régulier,PRSM00,31,Genève-Tours,2025-05-20 08:36:40,2025-05-20 08:36:00,31 - 26,0.0
116674,2025-05-20,L - 1,1900-01-01 08:37:00,1900-01-01 08:55:00,Régulier,CRCO05,70,ODIER,2025-05-20 08:37:00,2025-05-20 08:37:00,70 - 1,0.0
