Numéro -Voit_y;Numéro -Voit_x;DateCourse;sched_start;CodeLong;actual_exit_ts
33 - 1;33 - 15;2025-05-14;1900-01-01 08:42:20;PMAR01;2025-05-14 08:44:23+00:00
33 - 14;37 - 26;2025-05-14;1900-01-01 08:58:40;PMAR01;2025-05-14 08:59:41+00:00
33 - 12;32 - 6;2025-05-14;1900-01-01 09:00:00;RIVE04;2025-05-14 09:04:05+00:00
33 - 6;33 - 16;2025-05-14;1900-01-01 09:16:00;PMAR01;2025-05-14 09:14:01+00:00
33 - 14;37 - 26;2025-05-14;1900-01-01 09:31:20;RIVE04;2025-05-14 09:35:04+00:00
33 - 15;33 - 12;2025-05-14;1900-01-01 09:45:40;PMAR01;2025-05-14 09:42:37+00:00
33 - 6;33 - 16;2025-05-14;1900-01-01 10:01:40;RIVE04;2025-05-14 10:00:38+00:00
33 - 16;32 - 6;2025-05-14;1900-01-01 10:15:40;PMAR01;2025-05-14 10:16:13+00:00
33 - 26;33 - 12;2025-05-14;1900-01-01 10:31:40;RIVE04;2025-05-14 10:32:11+00:00
33 - 12;37 - 24;2025-05-14;1900-01-01 10:46:40;PMAR01;2025-05-14 10:45:15+00:00
33 - 16;32 - 6;2025-05-14;1900-01-01 11:01:40;RIVE04;2025-05-14 11:02:03+00:00
33 - 6;37 - 26;2025-05-14;1900-01-01 11:15:40;PMAR01;2025-05-14 11:15:25+00:00
33 - 12;37 - 24;2025-05-14;1900-01-01 11:31:40;RIVE04;2025-05-14 11:32:18+00:00
33 - 24;33 - 12;2025-05-14;1900-01-01 11:45:40;PMAR01;2025-05-14 11:46:41+00:00
33 - 6;37 - 26;2025-05-14;1900-01-01 12:01:40;RIVE04;2025-05-14 12:02:11+00:00
33 - 26;32 - 5;2025-05-14;1900-01-01 12:16:40;PMAR01;2025-05-14 12:16:47+00:00
33 - 24;33 - 18;2025-05-14;1900-01-01 12:34:00;RIVE04;2025-05-14 12:32:38+00:00
33 - 12;32 - 1;2025-05-14;1900-01-01 12:39:40;PMAR01;2025-05-14 12:46:03+00:00
33 - 26;32 - 5;2025-05-14;1900-01-01 13:01:40;RIVE04;2025-05-14 13:02:40+00:00
33 - 18;33 - 20;2025-05-14;1900-01-01 13:31:40;RIVE04;2025-05-14 13:35:56+00:00
33 - 1;37 - 26;2025-05-14;1900-01-01 13:46:20;PMAR01;2025-05-14 13:42:08+00:00
33 - 5;33 - 19;2025-05-14;1900-01-01 14:01:00;RIVE04;2025-05-14 14:02:41+00:00
33 - 19;33 - 18;2025-05-14;1900-01-01 14:15:40;PMAR01;2025-05-14 14:12:53+00:00
33 - 20;37 - 26;2025-05-14;1900-01-01 14:31:40;RIVE04;2025-05-14 14:32:28+00:00
33 - 26;33 - 21;2025-05-14;1900-01-01 14:46:40;PMAR01;2025-05-14 14:46:39+00:00
33 - 19;33 - 18;2025-05-14;1900-01-01 15:01:40;RIVE04;2025-05-14 15:03:07+00:00
33 - 18;33 - 20;2025-05-14;1900-01-01 15:16:40;PMAR01;2025-05-14 15:16:01+00:00
33 - 26;33 - 21;2025-05-14;1900-01-01 15:31:40;RIVE04;2025-05-14 15:32:23+00:00
33 - 21;33 - 19;2025-05-14;1900-01-01 15:46:00;PMAR01;2025-05-14 15:47:17+00:00
33 - 18;33 - 22;2025-05-14;1900-01-01 16:01:00;RIVE04;2025-05-14 16:02:30+00:00
33 - 20;37 - 33;2025-05-14;1900-01-01 16:13:40;PMAR01;2025-05-14 16:16:48+00:00
33 - 21;33 - 19;2025-05-14;1900-01-01 16:31:00;RIVE04;2025-05-14 16:33:08+00:00
33 - 19;33 - 23;2025-05-14;1900-01-01 16:43:40;PMAR01;2025-05-14 16:47:13+00:00
33 - 20;37 - 33;2025-05-14;1900-01-01 16:46:40;RIVE04;2025-05-14 16:48:36+00:00
33 - 22;33 - 18;2025-05-14;1900-01-01 17:01:40;RIVE04;2025-05-14 17:01:16+00:00
33 - 55;33 - 23;2025-05-14;1900-01-01 17:16:40;RIVE04;2025-05-14 17:17:29+00:00
33 - 18;33 - 22;2025-05-14;1900-01-01 17:28:40;PMAR01;2025-05-14 17:28:58+00:00
33 - 19;33 - 21;2025-05-14;1900-01-01 17:31:40;RIVE04;2025-05-14 17:32:17+00:00
33 - 23;38 - 55;2025-05-14;1900-01-01 17:43:40;PMAR01;2025-05-14 17:43:37+00:00
33 - 21;33 - 19;2025-05-14;1900-01-01 17:58:40;PMAR01;2025-05-14 17:59:17+00:00
33 - 18;33 - 22;2025-05-14;1900-01-01 18:01:40;RIVE04;2025-05-14 18:02:31+00:00
33 - 20;37 - 33;2025-05-14;1900-01-01 18:13:40;PMAR01;2025-05-14 18:14:28+00:00
33 - 23;38 - 55;2025-05-14;1900-01-01 18:16:40;RIVE04;2025-05-14 18:17:23+00:00
33 - 22;33 - 18;2025-05-14;1900-01-01 18:27:40;PMAR01;2025-05-14 18:28:21+00:00
33 - 21;33 - 19;2025-05-14;1900-01-01 18:32:00;RIVE04;2025-05-14 18:35:01+00:00
33 - 55;33 - 23;2025-05-14;1900-01-01 18:45:00;PMAR01;2025-05-14 18:43:59+00:00
33 - 20;37 - 33;2025-05-14;1900-01-01 18:47:40;RIVE04;2025-05-14 18:49:11+00:00
33 - 19;33 - 21;2025-05-14;1900-01-01 18:56:40;PMAR01;2025-05-14 19:00:04+00:00
33 - 22;33 - 18;2025-05-14;1900-01-01 19:02:40;RIVE04;2025-05-14 19:02:14+00:00
33 - 19;33 - 21;2025-05-14;1900-01-01 19:31:40;RIVE04;2025-05-14 19:35:20+00:00
33 - 23;33 - 19;2025-05-14;1900-01-01 19:44:00;PMAR01;2025-05-14 19:44:51+00:00
33 - 18;33 - 20;2025-05-14;1900-01-01 20:02:40;RIVE04;2025-05-14 20:04:03+00:00
33 - 20;33 - 18;2025-05-14;1900-01-01 20:13:40;PMAR01;2025-05-14 20:14:03+00:00
33 - 21;33 - 19;2025-05-14;1900-01-01 20:34:00;RIVE04;2025-05-14 20:32:30+00:00
33 - 19;37 - 30;2025-05-14;1900-01-01 20:44:20;PMAR01;2025-05-14 20:45:11+00:00
33 - 20;33 - 18;2025-05-14;1900-01-01 21:05:40;RIVE04;2025-05-14 21:03:44+00:00
33 - 18;33 - 20;2025-05-14;1900-01-01 21:14:20;PMAR01;2025-05-14 21:15:11+00:00
33 - 18;33 - 20;2025-05-14;1900-01-01 22:05:40;RIVE04;2025-05-14 22:06:10+00:00
33 - 20;33 - 18;2025-05-14;1900-01-01 22:14:00;PMAR01;2025-05-14 22:15:17+00:00
33 - 20;33 - 18;2025-05-14;1900-01-01 23:06:20;RIVE04;2025-05-14 23:06:18+00:00
33 - 18;37 - 32;2025-05-14;1900-01-01 23:14:20;PMAR01;2025-05-14 23:15:47+00:00
