DateCourse;Numéro -Voit;sched_start;sched_end;Type;CodeLong;Ligne;Category
2025-06-26;60 - 1;1900-01-01 06:00:00;1900-01-01 06:51:00;Régulier;GXAI01;60;Rdta
2025-06-26;60 - 7;1900-01-01 05:43:20;1900-01-01 06:33:40;Régulier;GXAI01;60;Rdta
2025-06-26;60 - 6;1900-01-01 05:24:20;1900-01-01 06:14:20;Régulier;GXAI01;60;Rdta
2025-06-26;60 - 5;1900-01-01 05:21:00;1900-01-01 06:00:00;Régulier;GXAI01;61;Rdta
2025-06-26;60 - 4;1900-01-01 05:04:00;1900-01-01 05:53:00;Régulier;GXAI01;60;Rdta
2025-06-26;60 - 3;1900-01-01 04:44:00;1900-01-01 05:33:00;Régulier;GXAI01;60;Rdta
2025-06-26;60 - 2;1900-01-01 04:24:00;1900-01-01 05:13:00;Régulier;GXAI01;60;Rdta
2025-06-26;60 - 1;1900-01-01 04:04:00;1900-01-01 04:53:00;Régulier;GXAI01;60;Rdta
2025-06-26;60 - 49;1900-01-01 20:28:20;1900-01-01 20:50:20;Régulier;FEMA00;60;Rdta
2025-06-26;60 - 37;1900-01-01 20:03:00;1900-01-01 20:25:20;Régulier;FEMA00;60;Rdta
2025-06-26;60 - 42;1900-01-01 19:41:00;1900-01-01 20:04:40;Régulier;FEMA00;60;Rdta
2025-06-26;60 - 45;1900-01-01 19:20:20;1900-01-01 19:44:20;Régulier;FEMA00;60;Rdta
2025-06-26;60 - 40;1900-01-01 19:04:00;1900-01-01 19:28:40;Régulier;FEMA00;60;Rdta
2025-06-26;60 - 37;1900-01-01 18:50:00;1900-01-01 19:15:40;Régulier;FEMA00;60;Rdta
2025-06-26;60 - 33;1900-01-01 18:37:20;1900-01-01 19:03:00;Régulier;FEMA00;60;Rdta
2025-06-26;60 - 42;1900-01-01 18:23:00;1900-01-01 18:49:00;Régulier;FEMA00;60;Rdta
2025-06-26;61 - 55;1900-01-01 18:07:20;1900-01-01 18:34:20;Régulier;FEMA00;60;Rdta
2025-06-26;60 - 40;1900-01-01 17:43:40;1900-01-01 18:12:00;Régulier;FEMA00;60;Rdta
2025-06-26;60 - 37;1900-01-01 17:29:20;1900-01-01 17:57:40;Régulier;FEMA00;60;Rdta
2025-06-26;60 - 33;1900-01-01 17:15:00;1900-01-01 17:43:20;Régulier;FEMA00;60;Rdta
2025-06-26;60 - 42;1900-01-01 17:00:00;1900-01-01 17:28:20;Régulier;FEMA00;60;Rdta
2025-06-26;60 - 29;1900-01-01 16:43:40;1900-01-01 17:12:00;Régulier;FEMA00;60;Rdta
2025-06-26;60 - 40;1900-01-01 16:28:40;1900-01-01 16:56:20;Régulier;FEMA00;60;Rdta
